DOCID,REVIEW,,,,,,,,,,,,,,,,,,,,,,SENTIMENT
1,"The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh.",,,,,,,,,,,,,,,,,,,,,,Positive
2,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.,,,,,,,,,,,,,,,,,,,,,,Positive
3,Miserable and Unpleasant Slog of a Movie about Nothing,,,,,,,,,,,,,,,,,,,,,,Negative
4,I don't get it,,,,,,,,,,,,,,,,,,,,,,Neutral
5,Stop comparing it with Endgame,,,,,,,,,,,,,,,,,,,,,,Neutral
6,"I have never left a review for any title, good or bad but this is such a piece of garbage that I registered an IMDB account just to vent my opinion. I want these 2 hours of my life back",,,,,,,,,,,,,,,,,,,,,,Negative
7,"just a joke,the movie.",,,,,,,,,,,,,,,,,,,,,,Negative
8,Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10,,,,,,,,,,,,,,,,,,,,,,Positive
9,The ending is what matters in a movie. And this movie has a kind of ending which would leave many speechless. It's indeed a masterpiece:),,,,,,,,,,,,,,,,,,,,,,Positive
10,Overrated and badly directed film with a misleading title,,,,,,,,,,,,,,,,,,,,,,Negative
11,"Over-hyped, overacted with no proper entertainment - The Millennial Joker",,,,,,,,,,,,,,,,,,,,,,Neutral
12,I don't get what everyone else seems to be seeing.,,,,,,,,,,,,,,,,,,,,,,Neutral
13,Insult to the best comic book villain of all time,,,,,,,,,,,,,,,,,,,,,,Negative
14,Masterpiece,,,,,,,,,,,,,,,,,,,,,,Positive
15,The best thing DC has done since Dark Knight,,,,,,,,,,,,,,,,,,,,,,Positive
16,"Dark, serious, tense... and bad!",,,,,,,,,,,,,,,,,,,,,,Negative
17,Good Film but nothing to do with the Joker,,,,,,,,,,,,,,,,,,,,,,Neutral
18,Great acting - Terrible film,,,,,,,,,,,,,,,,,,,,,,Neutral
19,Clear the Shelf for the Oscars,,,,,,,,,,,,,,,,,,,,,,Positive
20,Masterpiece *Movie Of the Year* Best Actor - Joaquin Phoenix*,,,,,,,,,,,,,,,,,,,,,,Positive
21,Not real Joker,,,,,,,,,,,,,,,,,,,,,,Neutral
22,fell asleep,,,,,,,,,,,,,,,,,,,,,,Negative
23,Cinematic Masterpiece,,,,,,,,,,,,,,,,,,,,,,Positive
24,"Dark, depressing and unsettling film with a haunting score. Incredible acting, directing and screenplay. Joaquin killed it. 5 out of 5 stars! Mental health is so important guys!!!",,,,,,,,,,,,,,,,,,,,,,Neutral
25,JOKER is a gift to the audiences. I felt as a privileged person to sit in a movie theater and watching it. Joaquin Phoenix and Todd Phillips gave to the world of cinema a rear pearl.,,,,,,,,,,,,,,,,,,,,,,Positive
26,Derivative and Uninspired,,,,,,,,,,,,,,,,,,,,,,Neutral
27,A breath of fresh air.Think heath ledgers joker in taxi driver with a game of thrones like soundtrack,,,,,,,,,,,,,,,,,,,,,,Positive
28,Just wasn't for me,,,,,,,,,,,,,,,,,,,,,,Neutral
29,Disappointing,,,,,,,,,,,,,,,,,,,,,,Negative
30,A waist of time and a free ticket,,,,,,,,,,,,,,,,,,,,,,Negative
31,"The Joker won. Absolutely tremendous, what acting skills are we talking about ? It is amazing!",,,,,,,,,,,,,,,,,,,,,,Positive
32,Am I the only one who didn't like this movie!?!?,,,,,,,,,,,,,,,,,,,,,,Neutral
33,That is best joker can i see And joaquin phoenix will win the oscar,,,,,,,,,,,,,,,,,,,,,,Positive
34,One of the worst movies I have seen in years. Best part is Cream's White Room. Director is terrible.,,,,,,,,,,,,,,,,,,,,,,Negative
35,Lame,,,,,,,,,,,,,,,,,,,,,,Negative
36,"A masterclass in acting, sound mixing and cinematography.",,,,,,,,,,,,,,,,,,,,,,Positive
